Categoría: Todas las categorías

Mes,Infrastructure as code: (Todo el mundo)
2014-01,7
2014-02,8
2014-03,9
2014-04,9
2014-05,7
2014-06,7
2014-07,12
2014-08,15
2014-09,14
2014-10,13
2014-11,9
2014-12,15
2015-01,15
2015-02,10
2015-03,17
2015-04,20
2015-05,16
2015-06,26
2015-07,20
2015-08,19
2015-09,23
2015-10,16
2015-11,16
2015-12,25
2016-01,19
2016-02,30
2016-03,26
2016-04,44
2016-05,39
2016-06,40
2016-07,47
2016-08,36
2016-09,51
2016-10,50
2016-11,50
2016-12,40
2017-01,42
2017-02,59
2017-03,47
2017-04,58
2017-05,69
2017-06,51
2017-07,56
2017-08,63
2017-09,63
2017-10,58
2017-11,78
2017-12,64
2018-01,63
2018-02,89
2018-03,71
2018-04,64
2018-05,67
2018-06,90
2018-07,73
2018-08,83
2018-09,82
2018-10,100
2018-11,86
2018-12,69
2019-01,87
2019-02,98
2019-03,96
2019-04,98
